term,term_code,course_code,course_title,section,crn,meeting_schedule,location,location_status,instructor,schedule_type_code,class_status,cab_status_code,cancelled,start_date,end_date,cab_schedule_and_location,source_url
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S17,13199,TBA,TBA,TBA,S. Skybetter,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S18,13200,TBA,TBA,TBA,S. dAngelo,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S20,13201,TBA,TBA,TBA,R. Fitzgerald,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S21,13202,TBA,TBA,TBA,S. Baryshnikov,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S22,13203,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970,Independent Reading and Research,S23,13204,TBA,TBA,TBA,J. Jarcho,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970P,Theatre Practicum,S01,13205,TBA,TBA,TBA,S. dAngelo,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970P,Theatre Practicum,S02,14512,TBA,TBA,TBA,S. Baryshnikov,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970P,Theatre Practicum,S03,13206,TBA,TBA,TBA,B. Reo,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970P,Theatre Practicum,S09,13207,TBA,TBA,TBA,S. Skiles,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1970P,Theatre Practicum,S14,13208,TBA,TBA,TBA,A. Haynes,I,Full,F,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1990,Senior Honors Thesis Preparation,S02,13209,TBA,TBA,TBA,J. Brown,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1990,Senior Honors Thesis Preparation,S04,13210,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1990,Senior Honors Thesis Preparation,S05,13211,TBA,TBA,TBA,P. Ybarra,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 1990,Senior Honors Thesis Preparation,S08,13212,TBA,TBA,TBA,J. Jarcho,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2100,Seminar in Performance Studies and Theatrical Theory,S01,14191,T 1pm-3:30pm,Lyman Hall 212,Physical location published,I. Ramos,S,Active,A,false,2026-09-09,2026-12-21,T 1pm-3:30pm in Lyman Hall 212,https://cab.brown.edu/
Fall 2026,202610,TAPS 2310,Graduate Playwriting,S01,14221,Th 11am-4pm,Lyman Hall 212,Physical location published,S. Kempson,S,Active,A,false,2026-09-09,2026-12-21,Th 11am-4pm in Lyman Hall 212,https://cab.brown.edu/
Fall 2026,202610,TAPS 2970,Comprehensive Examination Preparation,S01,13386,TBA,TBA,TBA,TBD,E,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2975,Thesis Workshop,S01,13213,TBA,TBA,TBA,J. Jarcho,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2975,Thesis Workshop,S02,13214,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2975,Thesis Workshop,S06,13215,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2975,Thesis Workshop,S09,13216,TBA,TBA,TBA,B. Mertes,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2980,Graduate Level Independent Reading and Research,S02,13217,TBA,TBA,TBA,J. Dellecave,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2980,Graduate Level Independent Reading and Research,S03,13218,TBA,TBA,TBA,P. Ybarra,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,TAPS 2980,Graduate Level Independent Reading and Research,S04,13219,TBA,TBA,TBA,J. Brown,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
