osm_type,osm_id,name,brown_relevant_hint,building_type,amenity,operator,owner,address_number,address_street,address_city,address_state,address_postcode,levels,wikidata,wikipedia,website,latitude,longitude,osm_url,source_url,license
way,142009450,,false,house,,,,28,South Court Street,,,,,,,,41.829241,-71.4076856,https://www.openstreetmap.org/way/142009450,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009451,,false,house,,,,65,,,,,,,,,41.8299896,-71.406615,https://www.openstreetmap.org/way/142009451,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009452,,false,house,,,,151,Pratt Avenue,,,,,,,,41.8309012,-71.4081862,https://www.openstreetmap.org/way/142009452,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009456,,false,house,,,,,,,,,,,,,41.8323369,-71.4026052,https://www.openstreetmap.org/way/142009456,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009459,,false,house,,,,,,,,,,,,,41.8303295,-71.4050979,https://www.openstreetmap.org/way/142009459,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009460,,false,house,,,,115,,,,,,,,,41.8303831,-71.4061338,https://www.openstreetmap.org/way/142009460,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009463,John Greene and Russell Potter House,false,house,,,,51,,,,,,,,,41.8221408,-71.399795,https://www.openstreetmap.org/way/142009463,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009466,,false,house,,,,,,,,,,,,,41.8213402,-71.4000241,https://www.openstreetmap.org/way/142009466,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009472,,false,house,,,,251,Bowen Street,,,,,,,,41.8306838,-71.4002672,https://www.openstreetmap.org/way/142009472,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009473,,false,house,,,,,,,,,,,,,41.8319326,-71.4041922,https://www.openstreetmap.org/way/142009473,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
