location,date,day_of_week,hours,location_url,source_url,snapshot_note
Sciences Library Brown ID Swipe Access,2026-07-30,Thursday,9am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library Brown ID Swipe Access,2026-07-31,Friday,9am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Sciences Library Brown ID Swipe Access,2026-08-01,Saturday,10am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/sciences-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Orwig Music Library,2026-07-26,Sunday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/orwig-music-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Orwig Music Library,2026-07-27,Monday,9am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/orwig-music-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Orwig Music Library,2026-07-28,Tuesday,9am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/orwig-music-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Orwig Music Library,2026-07-29,Wednesday,9am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/orwig-music-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Orwig Music Library,2026-07-30,Thursday,9am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/orwig-music-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Orwig Music Library,2026-07-31,Friday,9am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/orwig-music-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Orwig Music Library,2026-08-01,Saturday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/orwig-music-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Champlin Memorial Library - Medical Student Swipe Only,2026-07-26,Sunday,24 Hours,https://lib.brown.edu/using-library/visiting-library/locations-hours/champlin-memorial-medical-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Champlin Memorial Library - Medical Student Swipe Only,2026-07-27,Monday,24 Hours,https://lib.brown.edu/using-library/visiting-library/locations-hours/champlin-memorial-medical-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Champlin Memorial Library - Medical Student Swipe Only,2026-07-28,Tuesday,24 Hours,https://lib.brown.edu/using-library/visiting-library/locations-hours/champlin-memorial-medical-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Champlin Memorial Library - Medical Student Swipe Only,2026-07-29,Wednesday,24 Hours,https://lib.brown.edu/using-library/visiting-library/locations-hours/champlin-memorial-medical-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Champlin Memorial Library - Medical Student Swipe Only,2026-07-30,Thursday,24 Hours,https://lib.brown.edu/using-library/visiting-library/locations-hours/champlin-memorial-medical-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Champlin Memorial Library - Medical Student Swipe Only,2026-07-31,Friday,24 Hours,https://lib.brown.edu/using-library/visiting-library/locations-hours/champlin-memorial-medical-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Champlin Memorial Library - Medical Student Swipe Only,2026-08-01,Saturday,24 Hours,https://lib.brown.edu/using-library/visiting-library/locations-hours/champlin-memorial-medical-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Live Chat with Us,2026-07-26,Sunday,12pm – 7pm,https://brown.libanswers.com/,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Live Chat with Us,2026-07-27,Monday,8am – 9pm,https://brown.libanswers.com/,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Live Chat with Us,2026-07-28,Tuesday,8am – 9pm,https://brown.libanswers.com/,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Live Chat with Us,2026-07-29,Wednesday,8am – 9pm,https://brown.libanswers.com/,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Live Chat with Us,2026-07-30,Thursday,8am – 9pm,https://brown.libanswers.com/,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Live Chat with Us,2026-07-31,Friday,8am – 5pm,https://brown.libanswers.com/,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Live Chat with Us,2026-08-01,Saturday,10am – 5pm,https://brown.libanswers.com/,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Annmary Brown Memorial,2026-07-26,Sunday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/annmary-brown-memorial,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Annmary Brown Memorial,2026-07-27,Monday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/annmary-brown-memorial,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Annmary Brown Memorial,2026-07-28,Tuesday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/annmary-brown-memorial,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Annmary Brown Memorial,2026-07-29,Wednesday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/annmary-brown-memorial,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Annmary Brown Memorial,2026-07-30,Thursday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/annmary-brown-memorial,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Annmary Brown Memorial,2026-07-31,Friday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/annmary-brown-memorial,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Annmary Brown Memorial,2026-08-01,Saturday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/annmary-brown-memorial,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
